Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel,MERCHANT_NAME,MERCHANT_CATEGORIZED_AS,PURCHASE_VALUE,IS_PURCHASE_PAID_VIA_MPESA_SEND_MONEY,USER_AGE,USER_GENDER,USER_HOUSEHOLD,USER_INCOME,Day_MERCHANT,Month_MERCHANT,Year_MERCHANT,Hour_MERCHANT,Day_PURCHASED,Month_PURCHASED,Year_PURCHASED,Hour_PURCHASED
True,False,False,False,False,False,False,False,False,False,False,False,False,FATUMA OSORE,Bills & Fees,100,False,25.0,Male,3,10000,13.0,5.0,2022.0,6.0,13,May,2022,14
True,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,July,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,False,FATUMA OSORE,Bills & Fees,100,False,25.0,Male,3,10000,13.0,5.0,2022.0,6.0,13,May,2022,14
False,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,July,2021,14
False,False,False,False,False,False,False,False,False,False,False,True,False,FARMERS BUTCHERY,Shopping,1600,False,25.0,Male,5,150000,31.0,5.0,2022.0,13.0,19,February,2022,10
False,False,False,False,False,False,False,False,False,False,False,True,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,July,2021,12
False,False,False,False,False,False,False,False,False,False,False,False,False,FARMERS BUTCHERY,Shopping,1600,False,25.0,Male,5,150000,31.0,5.0,2022.0,13.0,19,February,2022,10
False,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,July,2021,12
True,False,False,False,False,False,False,False,False,False,False,False,False,M-SHWARI ACCOUNT,Bills & Fees,1000,False,25.0,Male,3,10000,1.0,6.0,2022.0,10.0,2,June,2022,6
True,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1000,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,19,March,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,False,M-SHWARI ACCOUNT,Bills & Fees,1000,False,25.0,Male,3,10000,1.0,6.0,2022.0,10.0,2,June,2022,6
False,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1000,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,19,March,2021,16
True,False,False,False,False,False,False,False,False,False,False,False,False,THREE BINS SERVICES,Bills & Fees,500,False,25.0,Female,1,85000,16.0,3.0,2022.0,13.0,6,September,2021,7
True,False,False,False,False,False,False,False,False,False,False,False,False,MARK NYABAYO,Bills & Fees,200,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,26,March,2021,17
False,False,False,False,False,False,False,False,False,False,False,False,False,THREE BINS SERVICES,Bills & Fees,500,False,25.0,Female,1,85000,16.0,3.0,2022.0,13.0,6,September,2021,7
False,False,False,False,False,False,False,False,False,False,False,False,False,MARK NYABAYO,Bills & Fees,200,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,26,March,2021,17
False,True,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM LIMITED,Data & WiFi,55,False,25.0,Male,3,200000,6.0,8.0,2021.0,11.0,16,July,2021,13
False,True,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,20,February,2021,19
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM LIMITED,Data & WiFi,55,False,25.0,Male,3,200000,6.0,8.0,2021.0,11.0,16,July,2021,13
False,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,20,February,2021,19
False,False,False,False,False,False,True,False,False,False,False,False,False,ELIZABETH NYAMBURA,Groceries,300,True,25.0,Female,1,85000,1.0,6.0,2022.0,10.0,17,June,2021,11
False,False,False,False,False,False,True,False,False,False,False,False,False,QUICK MART,Bills & Fees,303,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,11,June,2021,12
False,False,False,False,False,False,False,False,False,False,False,False,False,ELIZABETH NYAMBURA,Groceries,300,True,25.0,Female,1,85000,1.0,6.0,2022.0,10.0,17,June,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,QUICK MART,Bills & Fees,303,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,11,June,2021,12
False,True,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM POST,Data & WiFi,3000,True,25.0,Female,4,90000,1.0,9.0,2021.0,2.0,23,September,2021,8
False,True,False,False,False,False,False,False,False,False,False,False,False,CRISTMART COLLECTIONS,Bills & Fees,1450,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,12,January,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM POST,Data & WiFi,3000,True,25.0,Female,4,90000,1.0,9.0,2021.0,2.0,23,September,2021,8
False,False,False,False,False,False,False,False,False,False,False,False,False,CRISTMART COLLECTIONS,Bills & Fees,1450,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,12,January,2021,15
False,False,False,False,False,False,True,False,False,False,False,False,False,GARIDON ENTERPRISES VIA CO-OP,Groceries,4090,False,25.0,Female,1,250000,16.0,3.0,2022.0,13.0,28,December,2020,13
False,False,False,False,False,False,False,False,False,False,False,False,False,GARIDON ENTERPRISES VIA CO-OP,Groceries,4090,False,25.0,Female,1,250000,16.0,3.0,2022.0,13.0,28,December,2020,13
True,False,False,False,False,False,False,False,False,False,False,False,False,KPLC PREPAID,Bills & Fees,1000,True,25.0,Male,1,200000,16.0,3.0,2022.0,13.0,11,March,2022,6
True,False,False,False,False,False,False,False,False,False,False,False,False,SPRITZ HAIR,Bills & Fees,2000,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,17,July,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,False,KPLC PREPAID,Bills & Fees,1000,True,25.0,Male,1,200000,16.0,3.0,2022.0,13.0,11,March,2022,6
False,False,False,False,False,False,False,False,False,False,False,False,False,SPRITZ HAIR,Bills & Fees,2000,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,17,July,2021,16
False,False,False,False,True,False,False,False,False,False,False,False,False,TABITHA RAORE,Family & Friends,19000,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,18,December,2021,15
False,False,False,False,True,False,False,False,False,False,False,False,False,MARK NYABAYO,Bills & Fees,95,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,April,2021,8
False,False,False,False,False,False,False,False,False,False,False,False,False,TABITHA RAORE,Family & Friends,19000,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,18,December,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,MARK NYABAYO,Bills & Fees,95,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,April,2021,8
False,False,False,False,False,False,True,False,False,False,False,False,False,ELIZABETH NYAMBURA,Groceries,250,True,25.0,Female,1,85000,10.0,3.0,2022.0,18.0,4,November,2021,11
False,False,False,False,False,False,True,False,False,False,False,False,False,QUICK MART,Bills & Fees,1123,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,10,May,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,ELIZABETH NYAMBURA,Groceries,250,True,25.0,Female,1,85000,10.0,3.0,2022.0,18.0,4,November,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,QUICK MART,Bills & Fees,1123,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,10,May,2021,15
False,True,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM POST PAID,Data & WiFi,3717,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,21,March,2022,16
False,True,False,False,False,False,False,False,False,False,False,False,False,KRA,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,9,September,2021,13
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM POST PAID,Data & WiFi,3717,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,21,March,2022,16
False,False,False,False,False,False,False,False,False,False,False,False,False,KRA,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,9,September,2021,13
False,False,False,False,False,True,False,False,False,False,False,False,False,KFC WOODVALE,Going out,490,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,26,October,2021,15
False,False,False,False,False,True,False,False,False,False,False,False,False,DYNAMO DIGITAL,Bills & Fees,50,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,2,April,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,False,KFC WOODVALE,Going out,490,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,26,October,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,DYNAMO DIGITAL,Bills & Fees,50,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,2,April,2021,16
False,False,False,False,False,True,False,False,False,False,False,False,False,ENVY VIVA CORPORATE,Going out,100,False,25.0,Female,1,85000,31.0,5.0,2022.0,13.0,30,May,2022,16
False,False,False,False,False,True,False,False,False,False,False,False,False,MBCI  FOR,Bills & Fees,21000,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,27,January,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,False,ENVY VIVA CORPORATE,Going out,100,False,25.0,Female,1,85000,31.0,5.0,2022.0,13.0,30,May,2022,16
False,False,False,False,False,False,False,False,False,False,False,False,False,MBCI  FOR,Bills & Fees,21000,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,27,January,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,True,ENOCK  MAKORI,Transport & Fuel,260,True,26.0,Female,1,30000,1.0,9.0,2021.0,2.0,5,September,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,True,KERARAPON SERVICE STATION LIMITED,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,15,April,2022,10
False,False,False,False,False,False,False,False,False,False,False,False,False,ENOCK  MAKORI,Transport & Fuel,260,True,26.0,Female,1,30000,1.0,9.0,2021.0,2.0,5,September,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,KERARAPON SERVICE STATION LIMITED,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,15,April,2022,10
False,False,False,False,False,False,False,False,False,True,False,False,False,GLADWELL MBURU,Miscellaneous,200,True,25.0,Male,5,750000,16.0,3.0,2022.0,13.0,3,March,2022,17
False,False,False,False,False,False,False,False,False,True,False,False,False,NAIVAS SUPERMARKET,Bills & Fees,854,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,May,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,GLADWELL MBURU,Miscellaneous,200,True,25.0,Male,5,750000,16.0,3.0,2022.0,13.0,3,March,2022,17
False,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS SUPERMARKET,Bills & Fees,854,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,May,2021,11
False,False,False,False,False,True,False,False,False,False,False,False,False,WAFULA ANNE,Going out,450,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,7,August,2021,17
False,False,False,False,False,True,False,False,False,False,False,False,False,CYBERMENU ENTERPRISE,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,March,2022,9
False,False,False,False,False,False,False,False,False,False,False,False,False,WAFULA ANNE,Going out,450,True,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,7,August,2021,17
False,False,False,False,False,False,False,False,False,False,False,False,False,CYBERMENU ENTERPRISE,Bills & Fees,200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,March,2022,9
True,False,False,False,False,False,False,False,False,False,False,False,False,IM BANK,Bills & Fees,800,True,25.0,Male,3,200000,1.0,9.0,2021.0,2.0,7,September,2021,2
True,False,False,False,False,False,False,False,False,False,False,False,False,DYNA STAR,Bills & Fees,700,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,23,February,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,False,IM BANK,Bills & Fees,800,True,25.0,Male,3,200000,1.0,9.0,2021.0,2.0,7,September,2021,2
False,False,False,False,False,False,False,False,False,False,False,False,False,DYNA STAR,Bills & Fees,700,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,23,February,2021,14
False,False,False,False,False,False,True,False,False,False,False,False,False,TUSKYS -T MALL,Groceries,1547,False,25.0,Female,1,85000,31.0,5.0,2022.0,13.0,30,August,2019,13
False,False,False,False,False,False,True,False,False,False,False,False,False,BRIM SEVEN,Bills & Fees,230,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,September,2020,8
False,False,False,False,False,False,False,False,False,False,False,False,False,TUSKYS -T MALL,Groceries,1547,False,25.0,Female,1,85000,31.0,5.0,2022.0,13.0,30,August,2019,13
False,False,False,False,False,False,False,False,False,False,False,False,False,BRIM SEVEN,Bills & Fees,230,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,September,2020,8
False,False,False,False,False,True,False,False,False,False,False,False,False,JIWEKE TAVERN,Going out,10000,False,25.0,Female,1,10000,16.0,3.0,2022.0,13.0,15,September,2020,17
False,False,False,False,False,True,False,False,False,False,False,False,False,FAIRLANE SUPERMARKETS LTD,Bills & Fees,530,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,4,June,2022,17
False,False,False,False,False,False,False,False,False,False,False,False,False,JIWEKE TAVERN,Going out,10000,False,25.0,Female,1,10000,16.0,3.0,2022.0,13.0,15,September,2020,17
False,False,False,False,False,False,False,False,False,False,False,False,False,FAIRLANE SUPERMARKETS LTD,Bills & Fees,530,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,4,June,2022,17
True,False,False,False,False,False,False,False,False,False,False,False,False,CHRISPIN MALOBA,Bills & Fees,50,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,29,September,2021,16
True,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS SUPERMARKET,Bills & Fees,4480,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,8,January,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,CHRISPIN MALOBA,Bills & Fees,50,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,29,September,2021,16
False,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS SUPERMARKET,Bills & Fees,4480,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,8,January,2021,11
False,True,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,50,False,25.0,Male,3,10000,8.0,4.0,2022.0,10.0,8,April,2022,21
False,True,False,False,False,False,False,False,False,False,False,False,False,MULIKA,Bills & Fees,1250,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,August,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,50,False,25.0,Male,3,10000,8.0,4.0,2022.0,10.0,8,April,2022,21
False,False,False,False,False,False,False,False,False,False,False,False,False,MULIKA,Bills & Fees,1250,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,August,2021,14
False,False,False,False,False,True,False,False,False,False,False,False,False,GALITOS BELLEVUE,Going out,400,False,25.0,Female,1,85000,16.0,3.0,2022.0,13.0,4,September,2021,17
False,False,False,False,False,True,False,False,False,False,False,False,False,SAJ CERAMICS,Bills & Fees,3542,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,9,January,2021,7
False,False,False,False,False,False,False,False,False,False,False,False,False,GALITOS BELLEVUE,Going out,400,False,25.0,Female,1,85000,16.0,3.0,2022.0,13.0,4,September,2021,17
False,False,False,False,False,False,False,False,False,False,False,False,False,SAJ CERAMICS,Bills & Fees,3542,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,9,January,2021,7
False,False,False,False,False,False,False,False,False,False,False,False,True,SIXTUS ABOLALA,Transport & Fuel,260,True,25.0,Male,3,200000,26.0,11.0,2021.0,8.0,30,November,2021,8
False,False,False,False,False,False,False,False,False,False,False,False,True,LA PIEVE,Bills & Fees,1650,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,26,December,2020,14
False,False,False,False,False,False,False,False,False,False,False,False,False,SIXTUS ABOLALA,Transport & Fuel,260,True,25.0,Male,3,200000,26.0,11.0,2021.0,8.0,30,November,2021,8
False,False,False,False,False,False,False,False,False,False,False,False,False,LA PIEVE,Bills & Fees,1650,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,26,December,2020,14
False,False,False,False,False,False,False,False,False,False,False,False,True,OILIBYA WAIYAKI,Transport & Fuel,8250,False,25.0,Male,3,200000,6.0,8.0,2021.0,11.0,19,August,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,True,SAFARICOM LIMITED,Bills & Fees,20,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,March,2021,9
False,False,False,False,False,False,False,False,False,False,False,False,False,OILIBYA WAIYAKI,Transport & Fuel,8250,False,25.0,Male,3,200000,6.0,8.0,2021.0,11.0,19,August,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM LIMITED,Bills & Fees,20,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,18,March,2021,9
False,False,False,False,False,False,True,False,False,False,False,False,False,ALBERT  MBOGO,Groceries,1030,True,27.0,Female,2,8000,6.0,8.0,2021.0,11.0,25,August,2021,4
False,False,False,False,False,False,True,False,False,False,False,False,False,LANGATA CREAMY INN,Bills & Fees,560,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,14,February,2022,12
False,False,False,False,False,False,False,False,False,False,False,False,False,ALBERT  MBOGO,Groceries,1030,True,27.0,Female,2,8000,6.0,8.0,2021.0,11.0,25,August,2021,4
False,False,False,False,False,False,False,False,False,False,False,False,False,LANGATA CREAMY INN,Bills & Fees,560,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,14,February,2022,12
True,False,False,False,False,False,False,False,False,False,False,False,False,FATUMA OSORE,Bills & Fees,90,False,25.0,Male,3,10000,12.0,4.0,2022.0,15.0,20,April,2022,15
True,False,False,False,False,False,False,False,False,False,False,False,False,MEAT AND,Bills & Fees,4200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,December,2020,15
False,False,False,False,False,False,False,False,False,False,False,False,False,FATUMA OSORE,Bills & Fees,90,False,25.0,Male,3,10000,12.0,4.0,2022.0,15.0,20,April,2022,15
False,False,False,False,False,False,False,False,False,False,False,False,False,MEAT AND,Bills & Fees,4200,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,December,2020,15
False,False,False,False,False,False,False,False,False,True,False,False,False,PETER NJOORA KENDA,Miscellaneous,300,True,25.0,Female,3,85000,31.0,5.0,2022.0,13.0,20,May,2019,15
False,False,False,False,False,False,False,False,False,True,False,False,False,NAIVAS SHELL SYOKIMAU,Bills & Fees,320,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,14,February,2022,18
False,False,False,False,False,False,False,False,False,False,False,False,False,PETER NJOORA KENDA,Miscellaneous,300,True,25.0,Female,3,85000,31.0,5.0,2022.0,13.0,20,May,2019,15
False,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS SHELL SYOKIMAU,Bills & Fees,320,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,14,February,2022,18
True,False,False,False,False,False,False,False,False,False,False,False,False,IDEAL APPLIANCES,Bills & Fees,24995,False,25.0,Male,1,10000,30.0,11.0,2021.0,10.0,6,May,2021,14
True,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS KITENGELA,Bills & Fees,109,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,January,2022,18
False,False,False,False,False,False,False,False,False,False,False,False,False,IDEAL APPLIANCES,Bills & Fees,24995,False,25.0,Male,1,10000,30.0,11.0,2021.0,10.0,6,May,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS KITENGELA,Bills & Fees,109,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,January,2022,18
False,False,False,False,False,False,True,False,False,False,False,False,False,KCB PAYBILL AC,Groceries,300,False,25.0,Female,1,23000,31.0,5.0,2022.0,13.0,31,May,2022,12
False,False,False,False,False,False,True,False,False,False,False,False,False,IKOJN,Bills & Fees,4440,False,25.0,Female,4,90000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,3,February,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,KCB PAYBILL AC,Groceries,300,False,25.0,Female,1,23000,31.0,5.0,2022.0,13.0,31,May,2022,12
